"CT" "10" "20" "50" "100" "200" "500" "0" "AAL"
"1" "22051020101" 586.940999254584 2694.05099654198 10700.3664493561 29059.4308547974 52674.9335784912 83445.262802124 1278.04474806786 890.256253758297
"2" "22051020102" 581.361814681441 2412.36230820417 7491.76743555069 29598.2957382202 60833.4036750793 78255.1503143311 1316.18363577127 843.567444614682
"3" "22051020201" 616.913359314203 4312.0828499794 11443.2386894226 53172.8092651367 106740.089797974 115027.190460205 2129.4579834938 1415.06813614121
"4" "22051020202" 670.192446604371 4226.65693747997 8800.72623729706 27801.4815063477 48780.0951004028 48322.0440216064 1120.06275355816 837.950171141878
"5" "22051020203" 1443.49141413718 6451.20498299599 12944.9841582775 81795.4754886627 156604.162376404 141599.400367737 3029.13007777929 2005.31698406101
"6" "22051020301" 727.037555575371 2986.37490725517 4210.77971363068 44413.2513427734 93236.7798461914 49477.8684539795 1401.72568178177 1002.10983658874
"7" "22051020302" 940.361492194235 4234.34081599116 7897.02048540115 64907.811668396 124822.079574585 82002.8993492126 2060.10563290119 1459.92433448765
"8" "22051020303" 642.554361768067 2462.38495528698 3701.09777665138 33775.5132255554 68247.6810455322 43068.8400039673 1150.6572368145 779.491546168454
"9" "22051020400" 580.919811669737 2420.35650128126 3011.35390794277 31063.6422328949 68317.6212654114 31395.3233470917 1039.26439529657 724.905120330844
"10" "22051020502" 816.18037237227 4151.51808130741 3979.49315541983 42217.3409042358 103722.684020996 38076.6222343445 1519.60552310944 1054.69082188727
"11" "22051020505" 166.043736092746 748.606282174587 643.153184980154 8470.32774925232 16613.7577476501 7396.30117988586 298.515633642673 188.035349268727
"12" "22051020506" 552.868309125304 2836.45686280727 2959.04380178452 30035.5478916168 57286.531879425 29280.7778682709 1024.55176132917 684.794761783346
"13" "22051020507" 621.907089963555 3043.80571275949 2671.47920054197 27562.435136795 60626.4098129272 23715.1797771454 997.891947388649 675.526162213697
"14" "22051020508" 1342.13756000996 6576.44759941101 5143.46064949036 55282.6469421387 153385.538726807 45324.1041717529 2304.41897583008 1495.62871919739
"15" "22051020511" 609.212411090732 2975.2960934639 2656.20643055439 23916.4066162109 62186.3268432617 20566.9684410095 953.047308921814 646.335092283055
"16" "22051020512" 548.584784885868 3171.57960501313 2724.32213827968 23374.3221969604 52784.6490287781 20029.6228475571 865.080764621496 611.554693451917
"17" "22051020513" 843.820256382227 4788.55566295981 4981.65443262458 41220.9569911957 94687.8859596252 38358.1556358337 1469.03311097622 1057.71677630666
"18" "22051020514" 824.630120851099 3630.50760295987 3988.91595542431 44425.3957099915 102770.597579956 41935.1215744019 1516.68310981989 1052.78991675452
"19" "22051020515" 463.956421136856 2383.07685136795 1670.87070858479 28450.9987792969 65161.0665435791 21502.3822631836 1026.15231370926 646.619729168654
"20" "22051020516" 646.818107262254 2974.46088379622 2284.71149677038 26796.2968196869 58775.6762161255 21715.0070095062 1010.65790903568 649.490559495226
"21" "22051020517" 1292.37702180445 6322.02608251572 5274.06128931046 57537.2002182007 137874.89251709 45166.9740447998 2088.21818614006 1441.45072740401
"22" "22051020600" 378.094956308603 2500.59706783295 1741.01482307911 33663.1490249634 64879.0908966064 28509.3999786377 1173.65588545799 699.050634324223
"23" "22051020700" 197.838020399213 1148.38626241684 709.343684926629 12304.4049129486 25809.5103759766 13674.3678894043 505.474902480841 281.100904890314
"24" "22051021000" 376.397869303823 1672.13645744324 1421.58518779278 17550.8947887421 38136.9454040527 22591.3015213013 707.401709079742 422.793553599909
"25" "22051021100" 271.440926149488 1223.8530524075 1111.21405556798 13836.5445251465 30081.8044376373 16017.3999767303 526.185853332281 326.09182801564
"26" "22051021200" 565.594957083464 3159.77166152 3027.03045010567 26326.0835800171 50253.4608612061 27666.5985870361 952.174382448196 641.030717565507
