CensusBlock     ReturnPeriodId TotalLoss
220710001001000 100            12
220710001001005 50             325
220710001001005 100            479
220710001001007 50             333
220710001001007 100            512
220710001001008 50             59
220710001001008 100            96
220710001001010 50             49
220710001001010 100            76
220710001001011 10             58
220710001001011 25             58
220710001001011 50             295
220710001001011 100            346
220710001001012 10             118
220710001001012 25             118
220710001001012 50             546
220710001001012 100            640
220710001001013 10             118
220710001001013 25             118
220710001001013 50             408
220710001001013 100            467
220710001001015 50             307
220710001001015 100            445
220710001001016 10             355
220710001001016 25             355
220710001001016 50             740
220710001001016 100            797
220710001001017 10             158
220710001001017 25             158
220710001001017 50             521
220710001001017 100            584
220710001001018 10             179
220710001001018 25             179
220710001001018 50             451
220710001001018 100            477
220710001002001 10             122
220710001002001 25             122
220710001002001 50             180
220710001002001 100            190
220710001002003 10             308
220710001002003 25             308
220710001002003 50             841
220710001002003 100            895
220710001002006 10             370
220710001002006 25             370
220710001002006 50             1006
220710001002006 100            1066
220710001002007 10             127
220710001002007 25             127
220710001002007 50             518
220710001002007 100            574
220710001002008 10             148
220710001002008 25             148
220710001002008 50             467
220710001002008 100            496
220710001002010 10             163
220710001002010 25             163
220710001002010 50             560
220710001002010 100            595
220710001002011 10             179
220710001002011 25             179
220710001002011 50             539
220710001002011 100            572
220710001002013 10             177
220710001002013 25             177
220710001002013 50             635
220710001002013 100            676
220710001002014 10             144
220710001002014 25             144
220710001002014 50             525
220710001002014 100            560
220710001002016 10             282
220710001002016 25             282
220710001002016 50             762
220710001002016 100            809
220710001002018 10             307
220710001002018 25             307
220710001002018 50             958
220710001002018 100            1015
220710001003002 50             57
220710001003002 100            70
220710001003005 50             267
220710001003005 100            447
220710001003006 50             262
220710001003006 100            484
220710001003008 10             77
220710001003008 25             77
220710001003008 50             459
220710001003008 100            565
220710001003011 50             100
220710001003011 100            133
220710001003014 50             681
220710001003014 100            784
220710001003016 10             251
220710001003016 25             251
220710001003017 10             300
220710001003017 25             300
220710001003017 50             1125
220710001003017 100            1262
220710001003018 50             597
220710001003018 100            753
220710002001005 10             321
220710002001005 25             321
220710002001005 50             391
220710002001005 100            424
220710002001006 10             170
220710002001006 25             170
220710002001006 50             278
220710002001006 100            289
220710002001007 10             183
220710002001007 25             183
220710002001007 50             388
220710002001007 100            425
220710002001009 10             186
220710002001009 25             186
220710002001009 50             317
220710002001009 100            345
220710002001016 10             310
220710002001016 25             310
220710002001016 50             418
220710002001016 100            424
220710002001017 10             287
220710002001017 25             287
220710002001017 50             358
220710002001017 100            365
220710002001019 10             292
220710002001019 25             292
220710002001019 50             377
220710002001019 100            384
220710002002003 10             250
220710002002003 25             250
220710002002003 50             479
220710002002003 100            571
220710002002006 10             213
220710002002006 25             213
220710002002006 50             361
220710002002006 100            413
220710002002008 10             374
220710002002008 25             374
220710002002008 50             865
220710002002008 100            933
220710002002011 10             528
220710002002011 25             528
220710002002011 50             771
220710002002011 100            872
220710002002015 50             1505
220710002002015 100            1685
220710002002019 10             214
220710002002019 25             214
220710002002019 50             319
220710002002019 100            345
220710002002022 10             253
220710002002022 25             253
220710002002022 50             309
220710002002022 100            316
220710003001000 10             436
220710003001000 25             436
220710003001000 50             476
220710003001000 100            483
220710003001002 10             258
220710003001002 25             258
220710003001002 50             289
220710003001002 100            293
220710003001003 10             210
220710003001003 25             210
220710003001003 50             253
220710003001003 100            256
220710003001005 10             204
220710003001005 25             204
220710003001005 50             255
220710003001005 100            261
220710003001006 10             282
220710003001006 25             282
220710003001006 50             367
220710003001006 100            376
220710003001007 10             302
220710003001007 25             302
220710003001007 50             357
220710003001007 100            366
220710003001008 10             44
220710003001008 25             44
220710003001008 50             52
220710003001008 100            53
220710003001010 10             253
220710003001010 25             253
220710003001010 50             279
220710003001010 100            283
220710003001011 10             348
220710003001011 25             348
220710003001011 50             408
220710003001011 100            436
220710003001016 10             328
220710003001016 25             328
220710003001016 50             363
220710003001016 100            385
220710003001017 10             576
220710003001017 25             576
220710003001017 50             662
220710003001017 100            674
220710003001020 10             242
220710003001020 25             242
220710003001020 50             268
220710003001020 100            279
220710003001025 10             305
220710003001025 25             305
220710003001025 50             416
220710003001025 100            428
220710003001026 10             229
220710003001026 25             229
220710003001026 50             253
220710003001026 100            257
220710003001028 10             162
220710003001028 25             162
220710003001028 50             176
220710003001028 100            178
220710003002005 10             484
220710003002005 25             484
220710003002005 50             554
220710003002005 100            562
220710003002011 10             168
220710003002011 25             168
220710003002011 50             185
220710003002011 100            186
220710003002013 10             62
220710003002013 25             62
220710003002013 50             67
220710003002013 100            68
220710003002023 50             211
220710003002023 100            226
220710003002025 50             47
220710003002025 100            49
220710003002025 10             93
220710003002025 25             93
220710003002026 10             274
220710003002026 25             274
220710003002026 50             307
220710003002026 100            349
220710003002030 10             354
220710003002030 25             354
220710003002030 50             420
220710003002030 100            427
220710003002032 10             304
220710003002032 25             304
220710003002032 50             347
220710003002032 100            359
220710003002041 10             120
220710003002041 25             120
220710003002041 50             130
220710003002041 100            142
220710003002046 10             76
220710003002046 25             76
220710003002046 50             83
220710003002046 100            85
220710003002047 10             264
220710003002047 25             264
220710003002047 50             288
220710003002047 100            291
220710003002048 10             152
220710003002048 25             152
220710003002048 50             172
220710003002048 100            175
220710003002049 10             79
220710003002049 25             79
220710003002049 50             90
220710003002049 100            91
220710004001003 50             406
220710004001003 100            953
220710004001008 50             45
220710004001008 100            64
220710004001009 50             8
220710004001009 100            24
220710004001011 50             43
220710004001011 100            68
220710004001015 10             34
220710004001015 25             34
220710004001015 50             146
220710004001015 100            179
220710004001017 10             50
220710004001017 25             50
220710004001017 50             181
220710004001017 100            193
220710004001022 10             90
220710004001022 25             90
220710004001022 50             552
220710004001022 100            716
220710004001025 10             175
220710004001025 25             175
220710004001025 50             374
220710004001025 100            407
220710004001026 10             13
220710004001026 25             13
220710004001026 50             107
220710004001026 100            140
220710004001031 10             30
220710004001031 25             30
220710004001031 50             69
220710004001031 100            74
220710004001033 10             122
220710004001033 25             122
220710004001033 50             266
220710004001033 100            289
220710004001035 10             153
220710004001035 25             153
220710004001035 50             242
220710004001035 100            283
220710004001042 10             103
220710004001042 25             103
220710004001042 50             173
220710004001042 100            191
220710004001043 10             67
220710004001043 25             67
220710004001043 50             245
220710004001043 100            291
220710004001044 10             45
220710004001044 25             45
220710004001044 50             164
220710004001044 100            181
220710004001045 10             212
220710004001045 25             212
220710004001045 50             536
220710004001045 100            576
220710004002006 10             145
220710004002006 25             145
220710004002006 50             232
220710004002006 100            267
220710004002007 10             123
220710004002007 25             123
220710004002007 50             196
220710004002007 100            224
220710004002009 10             224
220710004002009 25             224
220710004002009 50             390
220710004002009 100            431
220710004002011 10             145
220710004002011 25             145
220710004002011 50             314
220710004002011 100            348
220710004002012 10             121
220710004002012 25             121
220710004002012 50             265
220710004002012 100            297
220710004002013 10             195
220710004002013 25             195
220710004002013 50             418
220710004002013 100            459
220710004002014 10             218
220710004002014 25             218
220710004002014 50             332
220710004002014 100            358
220710004002016 10             198
220710004002016 25             198
220710004002016 50             304
220710004002016 100            326
220710004002024 10             41
220710004002024 25             41
220710004002024 50             51
220710004002024 100            55
220710004002026 10             185
220710004002026 25             185
220710004002026 50             221
220710004002026 100            227
220710004002029 10             233
220710004002029 25             233
220710004002029 50             297
220710004002029 100            360
220710004002033 10             417
220710004002033 25             417
220710004002033 50             505
220710004002033 100            542
220710004002035 10             415
220710004002035 25             415
220710004002035 50             458
220710004002035 100            476
220710004002037 10             162
220710004002037 25             162
220710004002037 50             191
220710004002037 100            204
220710004002039 10             159
220710004002039 25             159
